"EVENT","VALUE","TIME"
"Start","0","0,00000"
"cmd","tap","0,27768"
"cmd","tap","0,46248"
"cmd","tap","1,08301"
"cmd","tap","1,25051"
"cmd","tap","1,63718"
"cmd","tap","1,78757"
"cmd","tap","2,24207"
"cmd","tap","2,42553"
"cmd","tap","2,66067"
"cmd","tap","3,28131"
"cmd","tap","3,80107"
"cmd","tap","4,35534"
"cmd","tap","4,67536"
"cmd","tap","4,99345"
"cmd","tap","5,46331"
"cmd","tap","5,64808"
"RC","1","5,76000"
"cmd","tap","5,81569"
"cmd","tap","5,99991"
"cmd","tap","6,43685"
"cmd","tap","6,92329"
"cmd","tap","7,37696"
"cmd","tap","7,76264"
"cmd","tap","7,98155"
"RC","2","8,04000"
"cmd","tap","8,14926"
"cmd","tap","8,31705"
"cmd","tap","8,48500"
"cmd","tap","8,61879"
"cmd","tap","8,78675"
"cmd","tap","8,95456"
"cmd","tap","9,10664"
"cmd","tap","9,25615"
"cmd","tap","9,42424"
"cmd","tap","9,57636"
"PU","yellow","9,60000"
"cmd","tap","9,82681"
"cmd","tap","10,02783"
"cmd","tap","10,19586"
"cmd","tap","10,36405"
"cmd","tap","10,53146"
"cmd","tap","10,68260"
"cmd","tap","10,83365"
"cmd","tap","11,03580"
"cmd","tap","11,22020"
"cmd","tap","11,37154"
"cmd","tap","11,54011"
"cmd","tap","11,68969"
"cmd","tap","11,85771"
"PU","blue","11,90000"
"cmd","tap","12,01034"
"cmd","tap","12,19343"
"cmd","tap","12,36170"
"cmd","tap","12,51218"
"cmd","tap","12,68068"
"cmd","tap","12,83094"
"cmd","tap","12,99904"
"cmd","tap","13,16666"
"cmd","tap","13,31834"
"cmd","tap","13,48586"
"cmd","tap","13,65328"
"cmd","tap","13,82161"
"cmd","tap","13,97403"
"PU","blue","14,10000"
"cmd","tap","14,14257"
"cmd","tap","14,30922"
"cmd","tap","14,47580"
"cmd","tap","14,64405"
"cmd","tap","14,81164"
"cmd","tap","14,96220"
"cmd","tap","15,13159"
"cmd","tap","15,29846"
"cmd","tap","15,46719"
"cmd","tap","15,65084"
"cmd","tap","15,81952"
"cmd","tap","15,98727"
"PU","pink","16,02000"
"cmd","tap","16,15504"
"cmd","tap","16,34026"
"cmd","tap","16,50880"
"cmd","tap","16,74188"
"cmd","tap","17,01105"
"cmd","tap","17,51453"
"cmd","tap","18,03433"
"cmd","tap","18,28609"
"cmd","tap","18,47064"
"RC","3","18,52000"
"cmd","tap","18,64009"
"cmd","tap","18,82350"
"cmd","tap","19,27690"
"cmd","tap","19,72933"
"cmd","tap","20,16598"
"cmd","tap","20,35097"
"RC","4","20,40000"
"cmd","tap","20,53568"
"cmd","tap","20,70270"
"cmd","tap","20,90433"
"cmd","tap","21,25698"
"cmd","tap","21,44287"
"WC","0","21,52000"
"cmd","tap","21,62462"
"WC","0","22,04000"
"Restart","1","22,35568"
"cmd","tap","22,75399"
"cmd","tap","22,92184"
"cmd","tap","23,07303"
"cmd","tap","23,24045"
"cmd","tap","23,39151"
"cmd","tap","23,55931"
"cmd","tap","23,72743"
"cmd","tap","23,89482"
"cmd","tap","24,06272"
"WC","1","24,10000"
"cmd","tap","24,21428"
"WC","1","24,64000"
"Restart","2","24,93557"
"Fall","1","25,63398"
"Restart","3","25,65060"
"Fall","2","26,34185"
"Restart","4","26,35930"
"Fall","3","27,07432"
"Restart","5","27,09115"
"Fall","4","27,79065"
"Restart","6","27,80737"
"Fall","5","28,53398"
"Restart","7","28,56893"
"Fall","6","29,24673"
"Restart","8","29,27409"
"Fall","7","29,97501"
"Restart","9","30,00649"
"Fall","8","30,68816"
"Restart","10","30,70315"
"Fall","9","31,40786"
"Restart","11","31,42462"
"Fall","10","32,13415"
"Restart","12","32,14960"
"Fall","11","32,85296"
"Restart","13","32,86691"
"Fall","12","33,56917"
"Restart","14","33,58603"
"Fall","13","34,29207"
"Restart","15","34,30838"
"Fall","14","35,01585"
"Restart","16","35,03149"
"Fall","15","35,73195"
"Restart","17","35,74813"
"Fall","16","36,45555"
"Restart","18","36,47205"
"Fall","17","37,17928"
"Restart","19","37,19384"
"Fall","18","37,89263"
"Restart","20","37,90960"
"Fall","19","38,60221"
"Restart","21","38,62057"
"Fall","20","39,32482"
"Restart","22","39,34236"
"Fall","21","40,04670"
"Restart","23","40,11328"
"Fall","22","40,76822"
"Restart","24","40,79076"
"Fall","23","41,48042"
"Restart","25","41,49677"
"Fall","24","42,21564"
"Restart","26","42,23270"
"Fall","25","42,93170"
"Restart","27","42,94879"
"Fall","26","43,65465"
"Restart","28","43,67120"
"Fall","27","44,37465"
"Restart","29","44,39100"
"Fall","28","45,09646"
"Restart","30","45,11218"
"Fall","29","45,81795"
"Restart","31","45,83449"
"Fall","30","46,52231"
"Restart","32","46,53833"
"Fall","31","47,24084"
"Restart","33","47,25737"
"Fall","32","47,96370"
"Restart","34","47,97974"
"Fall","33","48,69269"
"Restart","35","48,70859"
"Fall","34","49,41431"
"Restart","36","49,43108"
"Fall","35","50,12081"
"Restart","37","50,13898"
"Fall","36","50,84271"
"Restart","38","50,86122"
"Fall","37","51,57125"
"Restart","39","51,58709"
"Fall","38","52,28938"
"Restart","40","52,30613"
"Fall","39","53,00639"
"Restart","41","53,02484"
"Fall","40","53,72955"
"Restart","42","53,74565"
"Fall","41","54,44721"
"Restart","43","54,46405"
"Fall","42","55,17154"
"Restart","44","55,18878"
"Fall","43","55,88949"
"Restart","45","55,90573"
"Fall","44","56,60976"
"Restart","46","56,62568"
"Fall","45","57,33249"
"Restart","47","57,34978"
"Fall","46","58,05397"
"Restart","48","58,06997"
"Fall","47","58,77339"
"Restart","49","58,79089"
"Fall","48","59,48191"
"Restart","50","59,50082"
"Fall","49","60,21456"
"Restart","51","60,23145"
"Fall","50","60,93120"
"Restart","52","60,94755"
"Fall","51","61,65666"
"Restart","53","61,67334"
"Fall","52","62,36762"
"Restart","54","62,38761"
"Fall","53","63,08880"
"Restart","55","63,10481"
"Fall","54","63,80156"
"Restart","56","63,81800"
"Fall","55","64,53171"
"Restart","57","64,54694"
"Fall","56","65,24677"
"Restart","58","65,26366"
"Fall","57","65,96191"
"Restart","59","65,97945"
"Fall","58","66,69579"
"Restart","60","66,70940"
"Fall","59","67,41647"
"Restart","61","67,43288"
"Fall","60","68,12343"
"Restart","62","68,14104"
"Fall","61","68,84152"
"Restart","63","68,85820"
"Fall","62","69,56218"
"Restart","64","69,57890"
"Fall","63","70,28648"
"Restart","65","70,30303"
"Fall","64","71,00176"
"Restart","66","71,01803"
"Fall","65","71,72952"
"Restart","67","71,74449"
"Fall","66","72,45087"
"Restart","68","72,46763"
"Fall","67","73,17626"
"Restart","69","73,19258"
"Fall","68","73,88657"
"Restart","70","73,90576"
"Fall","69","74,61015"
"Restart","71","74,62623"
"Fall","70","75,32452"
"Restart","72","75,34100"
"Fall","71","76,05344"
"Restart","73","76,06857"
"Fall","72","76,77149"
"Restart","74","76,78834"
"Fall","73","77,49528"
"Restart","75","77,51135"
"Fall","74","78,21010"
"Restart","76","78,22787"
"Fall","75","78,92377"
"Restart","77","78,94258"
"Fall","76","79,65034"
"Restart","78","79,66673"
"Fall","77","80,36324"
"Restart","79","80,38146"
"Fall","78","81,09425"
"Restart","80","81,11107"
"Fall","79","81,80352"
"Restart","81","81,82082"
"Fall","80","82,53574"
"Restart","82","82,55177"
"Fall","81","83,24037"
"Restart","83","83,25798"
"Fall","82","83,97406"
"Restart","84","83,99106"
"Fall","83","84,68295"
"Restart","85","84,69898"
"Fall","84","85,40442"
"Restart","86","85,42159"
"Fall","85","86,12824"
"Restart","87","86,14425"
"Fall","86","86,85163"
"Restart","88","86,86873"
"Fall","87","87,56218"
"Restart","89","87,58736"
"Fall","88","88,28468"
"Restart","90","88,30143"
"Fall","89","89,00237"
"Restart","91","89,01839"
"Fall","90","89,73451"
"Restart","92","89,75066"
"Fall","91","90,45526"
"Restart","93","90,47201"
"Fall","92","91,16319"
"Restart","94","91,18135"
"Fall","93","91,88013"
"Restart","95","91,89873"
"Fall","94","92,60970"
"Restart","96","92,62520"
"Fall","95","93,32866"
"Restart","97","93,34590"
"Fall","96","94,05414"
"Restart","98","94,07207"
"Fall","97","94,76991"
"Restart","99","94,78574"
"Fall","98","95,48474"
"Restart","100","95,50039"
"Fall","99","96,20136"
"Restart","101","96,21909"
"Fall","100","96,92442"
"Restart","102","96,94051"
"Fall","101","97,65376"
"Restart","103","97,67147"
"Fall","102","98,37252"
"Restart","104","98,38869"
"Fall","103","99,08280"
"Restart","105","99,10148"
"Fall","104","99,80457"
"Restart","106","99,82053"
"Fall","105","100,53420"
"Restart","107","100,55260"
"Fall","106","101,24260"
"Restart","108","101,25590"
"Fall","107","101,97640"
"Restart","109","101,99340"
"Fall","108","102,69200"
"Restart","110","102,70940"
"Fall","109","103,40440"
"Restart","111","103,42410"
"Fall","110","104,13510"
"Restart","112","104,15150"
"Fall","111","104,84270"
"Restart","113","104,86150"
"Fall","112","105,57450"
"Restart","114","105,58920"
"Fall","113","106,29390"
"Restart","115","106,31130"
"Fall","114","107,01700"
"Restart","116","107,03280"
"Fall","115","107,73110"
"Restart","117","107,74840"
"Fall","116","108,45570"
"Restart","118","108,47230"
"Fall","117","109,17210"
"Restart","119","109,18820"
"Fall","118","109,88050"
"Restart","120","109,89870"
"Fall","119","110,60290"
"Restart","121","110,61990"
"Fall","120","111,32710"
"Restart","122","111,34300"
"Fall","121","112,05330"
"Restart","123","112,06990"
"Fall","122","112,76070"
"Restart","124","112,77820"
"Fall","123","113,49450"
"Restart","125","113,51000"
"Fall","124","114,21680"
"Restart","126","114,23300"
"Fall","125","114,92810"
"Restart","127","114,94670"
"Fall","126","115,64110"
"Restart","128","115,65920"
"Fall","127","116,36480"
"Restart","129","116,38190"
"Fall","128","117,09830"
"Restart","130","117,11330"
"Fall","129","117,81200"
"Restart","131","117,82910"
"Fall","130","118,52170"
"Restart","132","118,53960"
"Fall","131","119,24310"
"Restart","133","119,26150"
"Fall","132","119,96550"
"Restart","134","119,98140"
"Fall","133","120,69500"
"Restart","135","120,71300"
"Fall","134","121,40780"
"Restart","136","121,42490"
"Fall","135","122,12740"
"Restart","137","122,14410"
"Fall","136","122,84890"
"Restart","138","122,86470"
"Fall","137","123,56110"
"Restart","139","123,57740"
"Fall","138","124,29050"
"Restart","140","124,30880"
"Fall","139","125,00640"
"Restart","141","125,02350"
"Fall","140","125,72140"
"Restart","142","125,73990"
"Fall","141","126,45060"
"Restart","143","126,46620"
"Fall","142","127,17230"
"Restart","144","127,18930"
"Fall","143","127,89470"
"Restart","145","127,91120"
"Fall","144","128,60850"
"Restart","146","128,62720"
"Fall","145","129,33260"
"Restart","147","129,34890"
"Fall","146","130,05130"
"Restart","148","130,06820"
"Fall","147","130,76990"
"Restart","149","130,78950"
"Fall","148","131,49400"
"Restart","150","131,50940"
"Fall","149","132,20200"
"Restart","151","132,21890"
"Fall","150","132,93430"
"Restart","152","132,94910"
"Fall","151","133,65550"
"Restart","153","133,67280"
"Fall","152","134,36290"
"Restart","154","134,38080"
"Fall","153","135,08520"
"Restart","155","135,10240"
"Fall","154","135,81230"
"Restart","156","135,82630"
"Fall","155","136,53080"
"Restart","157","136,54950"
"Fall","156","137,25230"
"Restart","158","137,26860"
"Fall","157","137,96520"
"Restart","159","137,98280"
"Fall","158","138,68920"
"Restart","160","138,70550"
"Fall","159","139,40210"
"Restart","161","139,41820"
"Fall","160","140,12660"
"Restart","162","140,14120"
"Fall","161","140,84100"
"Restart","163","140,85720"
"Fall","162","141,56400"
"Restart","164","141,58010"
"Fall","163","142,29530"
"Restart","165","142,31130"
"Fall","164","143,01460"
"Restart","166","143,03050"
"Fall","165","143,73740"
"Restart","167","143,75360"
"Fall","166","144,45080"
"Restart","168","144,46920"
"Fall","167","145,16400"
"Restart","169","145,18180"
"Fall","168","145,88880"
"Restart","170","145,90490"
"Fall","169","146,61250"
"Restart","171","146,63070"
"Fall","170","147,32300"
"Restart","172","147,34130"
"Fall","171","148,05890"
"Restart","173","148,07410"
"Fall","172","148,77820"
"Restart","174","148,79440"
"Fall","173","149,49380"
"Restart","175","149,51100"
"Fall","174","150,20020"
"Restart","176","150,21820"
"Fall","175","150,93420"
"Restart","177","150,95210"
"Fall","176","151,64090"
"Restart","178","151,66010"
"Fall","177","152,36050"
"Restart","179","152,37670"
"Fall","178","153,09580"
"Restart","180","153,11270"
"Fall","179","153,80730"
"Restart","181","153,82700"
"Fall","180","154,52100"
"Restart","182","154,54060"
"Fall","181","155,25460"
"Restart","183","155,27110"
"Fall","182","155,97740"
"Restart","184","155,99120"
"Fall","183","156,69540"
"Restart","185","156,71280"
"Fall","184","157,40170"
"Restart","186","157,42050"
"Fall","185","158,12030"
"Restart","187","158,13870"
"Fall","186","158,85220"
"Restart","188","158,87650"
"Fall","187","159,57380"
"Restart","189","159,59040"
"Fall","188","160,29230"
"Restart","190","160,30690"
"Fall","189","161,01250"
"Restart","191","161,02930"
"Fall","190","161,73790"
"Restart","192","161,75460"
"Fall","191","162,45140"
"Restart","193","162,46720"
"Fall","192","163,16060"
"Restart","194","163,17820"
"Fall","193","163,88390"
"Restart","195","163,90050"
"Fall","194","164,60800"
"Restart","196","164,62370"
"Fall","195","165,32460"
"Restart","197","165,34070"
"Fall","196","166,04510"
"Restart","198","166,06180"
"Fall","197","166,77060"
"Restart","199","166,78650"
"Fall","198","167,48470"
"Restart","200","167,50220"
"Fall","199","168,20130"
"Restart","201","168,21820"
"Fall","200","168,92650"
"Restart","202","168,94290"
"Fall","201","169,64020"
"Restart","203","169,65900"
"Fall","202","170,37010"
"Restart","204","170,38580"
"Fall","203","171,08710"
"Restart","205","171,10240"
"Fall","204","171,81150"
"Restart","206","171,82850"
"Fall","205","172,52510"
"Restart","207","172,54110"
"Fall","206","173,24600"
"Restart","208","173,26330"
"Fall","207","173,97340"
"Restart","209","173,99090"
"Fall","208","174,68620"
"Restart","210","174,70310"
"Fall","209","175,40900"
"Restart","211","175,42500"
"Fall","210","176,12630"
"Restart","212","176,14040"
"Fall","211","176,84740"
"Restart","213","176,86260"
"Fall","212","177,56590"
"Restart","214","177,58240"
"Fall","213","178,29090"
"Restart","215","178,30720"
"Fall","214","179,00890"
"Restart","216","179,03440"
"Fall","215","179,72330"
"Restart","217","179,74080"
"Fall","216","180,45610"
"Restart","218","180,47660"
"Fall","217","181,17910"
"Restart","219","181,19400"
"Fall","218","181,89000"
"Restart","220","181,91340"
"Fall","219","182,60260"
"Restart","221","182,62020"
"Fall","220","183,33090"
"Restart","222","183,35180"
"Fall","221","184,05090"
"Restart","223","184,06770"
"Fall","222","184,76770"
"Restart","224","184,78810"
"Fall","223","185,48610"
"Restart","225","185,50380"
"Fall","224","186,20510"
"Restart","226","186,22260"
"Fall","225","186,93290"
"Restart","227","186,94920"
"Fall","226","187,66780"
"Restart","228","187,68420"
"Fall","227","188,38090"
"Restart","229","188,39950"
"Fall","228","189,10860"
"Restart","230","189,12250"
"Fall","229","189,82600"
"Restart","231","189,84310"
"Fall","230","190,55610"
"Restart","232","190,57490"
"Fall","231","191,26550"
"Restart","233","191,28150"
"cmd","tap","191,28150"
"cmd","tap","191,43970"
"cmd","tap","191,59090"
"cmd","tap","191,74170"
"cmd","tap","192,01080"
"RC","1","192,12000"
"cmd","tap","192,21300"
"WC","233","192,22000"
"WC","233","192,58000"
"Restart","234","193,05060"
"cmd","tap","193,33050"
"cmd","tap","193,49830"
"cmd","tap","193,66610"
"cmd","tap","193,81770"
"cmd","tap","194,00200"
"cmd","tap","194,15280"
"cmd","tap","194,30480"
"WC","234","194,40000"
"cmd","tap","194,47280"
"WC","234","194,86000"
"Restart","235","195,22700"
"Fall","232","195,92700"
"Restart","236","195,94300"
"Fall","233","196,64140"
"Restart","237","196,67320"
"Fall","234","197,39110"
"Restart","238","197,40410"
"Fall","235","198,11550"
"Restart","239","198,13140"
"Fall","236","198,83090"
"Restart","240","198,84720"
"Fall","237","199,54680"
"Restart","241","199,56410"
"Fall","238","200,26130"
"Restart","242","200,27850"
"Fall","239","200,98680"
"Restart","243","201,00290"
"Fall","240","201,70200"
"Restart","244","201,72030"
"Fall","241","202,43500"
"Restart","245","202,45230"
"Fall","242","203,15150"
"Restart","246","203,16860"
"Fall","243","203,86690"
"Restart","247","203,88670"
"Fall","244","204,58180"
"Restart","248","204,59960"
"Fall","245","205,31700"
"Restart","249","205,33330"
"Fall","246","206,02600"
"Restart","250","206,04210"
"Fall","247","206,74620"
"Restart","251","206,76280"
"Fall","248","207,47070"
"Restart","252","207,48710"
"Fall","249","208,18440"
"Restart","253","208,20210"
"Fall","250","208,91630"
"Restart","254","208,93320"
"Fall","251","209,63280"
"Restart","255","209,64970"
"Fall","252","210,34760"
"Restart","256","210,36520"
"Fall","253","211,06270"
"Restart","257","211,08130"
"Fall","254","211,78760"
"Restart","258","211,80370"
"Fall","255","212,50110"
"Restart","259","212,51720"
"Fall","256","213,22950"
"Restart","260","213,24360"
"Fall","257","213,94720"
"Restart","261","213,96390"
"Fall","258","214,67260"
"Restart","262","214,68900"
"Fall","259","215,38500"
"Restart","263","215,40480"
"Fall","260","216,10930"
"Restart","264","216,12550"
"Fall","261","216,82710"
"Restart","265","216,84300"
"Fall","262","217,54820"
"Restart","266","217,56470"
"Fall","263","218,27250"
"Restart","267","218,29340"
"Fall","264","218,99370"
"Restart","268","219,00980"
"Fall","265","219,71460"
"Restart","269","219,73250"
"Fall","266","220,42160"
"Restart","270","220,44030"
"Fall","267","221,14580"
"Restart","271","221,16260"
"Fall","268","221,86290"
"Restart","272","221,87870"
"Fall","269","222,59430"
"Restart","273","222,61160"
"Fall","270","223,31330"
"Restart","274","223,33030"
"Fall","271","224,03080"
"Restart","275","224,04790"
"Fall","272","224,74370"
"Restart","276","224,76200"
"Fall","273","225,47530"
"Restart","277","225,49210"
"Fall","274","226,19690"
"Restart","278","226,20890"
"Fall","275","226,91790"
"Restart","279","226,95090"
"Fall","276","227,63530"
"Restart","280","227,65820"
"Fall","277","228,34390"
"Restart","281","228,36880"
"Fall","278","229,06870"
"Restart","282","229,08690"
"Fall","279","229,79060"
"Restart","283","229,80700"
"Fall","280","230,50560"
"Restart","284","230,52130"
"Fall","281","231,22970"
"Restart","285","231,24420"
"Fall","282","231,95600"
"Restart","286","231,97140"
"Fall","283","232,67030"
"Restart","287","232,68810"
"Fall","284","233,39220"
"Restart","288","233,41050"
"Fall","285","234,10330"
"Restart","289","234,12150"
"Fall","286","234,82620"
"Restart","290","234,84190"
"Fall","287","235,54850"
"Restart","291","235,56330"
"Fall","288","236,26650"
"Restart","292","236,28300"
"Fall","289","236,98970"
"Restart","293","237,00560"
"Fall","290","237,71040"
"Restart","294","237,72630"
"Fall","291","238,43370"
"Restart","295","238,45120"
"Fall","292","239,15550"
"Restart","296","239,17130"
"Fall","293","239,86480"
"Restart","297","239,88310"
"Fall","294","240,58880"
"Restart","298","240,60310"
"Fall","295","241,30470"
"Restart","299","241,32180"
"Fall","296","242,02320"
"Restart","300","242,04000"
"Fall","297","242,74510"
"Restart","301","242,76170"
"Fall","298","243,46040"
"Restart","302","243,47720"
"Fall","299","244,18320"
"Restart","303","244,19940"
"Fall","300","244,90430"
"Restart","304","244,92210"
"Fall","301","245,63490"
"Restart","305","245,65150"
"Fall","302","246,35000"
"Restart","306","246,36980"
"Fall","303","247,07860"
"Restart","307","247,09740"
"Fall","304","247,78090"
"Restart","308","247,79790"
"Fall","305","248,51390"
"Restart","309","248,53140"
"Fall","306","249,23630"
"Restart","310","249,25330"
"Fall","307","249,95060"
"Restart","311","249,96790"
"Fall","308","250,67100"
"Restart","312","250,68670"
"Fall","309","251,38810"
"Restart","313","251,40900"
"Fall","310","252,11830"
"Restart","314","252,13420"
"Fall","311","252,83430"
"Restart","315","252,85080"
"Fall","312","253,55510"
"Restart","316","253,57120"
"Fall","313","254,26680"
"Restart","317","254,28420"
"Fall","314","254,99550"
"Restart","318","255,01360"
"Fall","315","255,71230"
"Restart","319","255,73270"
"Fall","316","256,42420"
"Restart","320","256,44320"
"Fall","317","257,14630"
"Restart","321","257,16260"
"Fall","318","257,87610"
"Restart","322","257,89230"
"Fall","319","258,59560"
"Restart","323","258,61160"
"Fall","320","259,30840"
"Restart","324","259,32560"
"Fall","321","260,02940"
"Restart","325","260,04570"
"Fall","322","260,76930"
"Restart","326","260,80950"
"Fall","323","261,49130"
"Restart","327","261,50950"
"Fall","324","262,21130"
"Restart","328","262,22760"
"Fall","325","262,93000"
"Restart","329","262,94820"
"Fall","326","263,64020"
"Restart","330","263,66020"
"Fall","327","264,37280"
"Restart","331","264,39060"
"Fall","328","265,08690"
"Restart","332","265,10950"
"Fall","329","265,80680"
"Restart","333","265,82280"
"Fall","330","266,53420"
"Restart","334","266,55610"
"Fall","331","267,25570"
"Restart","335","267,27220"
"Fall","332","267,96910"
"Restart","336","267,98730"
"Fall","333","268,68970"
"Restart","337","268,71220"
"Fall","334","269,40890"
"Restart","338","269,43120"
"Fall","335","270,13110"
"Restart","339","270,14950"
"Fall","336","270,85070"
"Restart","340","270,86620"
"Fall","337","271,56470"
"Restart","341","271,58440"
"Fall","338","272,28520"
"Restart","342","272,30270"
"Fall","339","273,00480"
"Restart","343","273,02200"
"Fall","340","273,73620"
"Restart","344","273,75380"
"Fall","341","274,44670"
"Restart","345","274,49900"
"Fall","342","275,17660"
"Restart","346","275,19280"
"Fall","343","275,89290"
"Restart","347","275,91450"
"Fall","344","276,61140"
"Restart","348","276,62950"
"Fall","345","277,33370"
"Restart","349","277,34910"
"Fall","346","278,04970"
"Restart","350","278,06940"
"Fall","347","278,76720"
"Restart","351","278,78530"
"Fall","348","279,48400"
"Restart","352","279,50240"
"Fall","349","280,20110"
"Restart","353","280,22060"
"Fall","350","280,92230"
"Restart","354","280,94530"
"Fall","351","281,64270"
"Restart","355","281,66370"
"Fall","352","282,36040"
"Restart","356","282,37800"
"Fall","353","283,08590"
"Restart","357","283,10130"
"Fall","354","283,80040"
"Restart","358","283,82090"
"Fall","355","284,53430"
"Restart","359","284,55610"
"Fall","356","285,24260"
"Restart","360","285,26340"
"Fall","357","285,96400"
"Restart","361","285,99520"
"Fall","358","286,69600"
"Restart","362","286,71360"
"Fall","359","287,40180"
"Restart","363","287,42350"
"Fall","360","288,13310"
"Restart","364","288,14900"
"Fall","361","288,85470"
"Restart","365","288,87420"
"Fall","362","289,57840"
"Restart","366","289,59410"
"Fall","363","290,29330"
"Restart","367","290,31250"
"Fall","364","291,01010"
"Restart","368","291,02910"
"Fall","365","291,72900"
"Restart","369","291,75030"
"Fall","366","292,45440"
"Restart","370","292,47200"
"Fall","367","293,17370"
"Restart","371","293,19070"
"Fall","368","293,89450"
"Restart","372","293,91130"
"Fall","369","294,61440"
"Restart","373","294,62950"
"Fall","370","295,33420"
"Restart","374","295,35070"
"Fall","371","296,04070"
"Restart","375","296,05900"
"Fall","372","296,76270"
"Restart","376","296,78200"
"Fall","373","297,48430"
"Restart","377","297,50750"
"Fall","374","298,21780"
"Restart","378","298,23390"
"Fall","375","298,92180"
"Restart","379","298,94180"
"Fall","376","299,65100"
"Restart","380","299,66780"
"Fall","377","300,36870"
"Restart","381","300,38710"
"Fall","378","301,08820"
"Restart","382","301,10500"
"Fall","379","301,81610"
"Restart","383","301,83620"
"Fall","380","302,52890"
"Restart","384","302,54540"
"Fall","381","303,25270"
"Restart","385","303,26770"
"Fall","382","303,97190"
"Restart","386","303,98970"
"Fall","383","304,69460"
"Restart","387","304,71020"
"Fall","384","305,41430"
"Restart","388","305,43010"
"Fall","385","306,12040"
"Restart","389","306,13700"
"Fall","386","306,84070"
"Restart","390","306,85700"
"Fall","387","307,56340"
"Restart","391","307,58010"
"Fall","388","308,29520"
"Restart","392","308,31130"
"Fall","389","309,01310"
"Restart","393","309,03000"
"Fall","390","309,73710"
"Restart","394","309,75300"
"Fall","391","310,44130"
"Restart","395","310,46050"
"Fall","392","311,16060"
"Restart","396","311,17710"
"Fall","393","311,88020"
"Restart","397","311,89800"
"Fall","394","312,60100"
"Restart","398","312,61930"
