"EVENT","VALUE","TIME"
"Fall","395","313,33050"
"Restart","399","313,34700"
"Fall","396","314,05010"
"Restart","400","314,06670"
"Fall","397","314,77300"
"Restart","401","314,79100"
"Fall","398","315,48500"
"Restart","402","315,50320"
"Fall","399","316,21160"
"Restart","403","316,22680"
"Fall","400","316,93340"
"Restart","404","316,94970"
"Fall","401","317,65350"
"Restart","405","317,67070"
"Fall","402","318,37540"
"Restart","406","318,39250"
"Fall","403","319,09440"
"Restart","407","319,11010"
"Fall","404","319,80550"
"Restart","408","319,82310"
"Fall","405","320,53480"
"Restart","409","320,55340"
"Fall","406","321,25030"
"Restart","410","321,26720"
"Fall","407","321,97360"
"Restart","411","321,99260"
"Fall","408","322,68630"
"Restart","412","322,70440"
"Fall","409","323,41200"
"Restart","413","323,42730"
"Fall","410","324,13730"
"Restart","414","324,15540"
"Fall","411","324,85150"
"Restart","415","324,86740"
"Fall","412","325,57480"
"Restart","416","325,59150"
"Fall","413","326,29870"
"Restart","417","326,31530"
"Fall","414","327,01490"
"Restart","418","327,03160"
"Fall","415","327,72030"
"Restart","419","327,73900"
"Fall","416","328,44520"
"Restart","420","328,46160"
"Fall","417","329,16660"
"Restart","421","329,18260"
"Fall","418","329,88390"
"Restart","422","329,90120"
"Fall","419","330,60850"
"Restart","423","330,62460"
"Fall","420","331,33180"
"Restart","424","331,34750"
"Fall","421","332,05170"
"Restart","425","332,06910"
"Fall","422","332,77560"
"Restart","426","332,79290"
"Fall","423","333,48860"
"Restart","427","333,50620"
"Fall","424","334,21220"
"Restart","428","334,22790"
"Fall","425","334,92650"
"Restart","429","334,94150"
"Fall","426","335,64860"
"Restart","430","335,66370"
"Fall","427","336,36580"
"Restart","431","336,38450"
"Fall","428","337,08640"
"Restart","432","337,10340"
"Fall","429","337,81010"
"Restart","433","337,82570"
"Fall","430","338,53030"
"Restart","434","338,54780"
"Fall","431","339,24530"
"Restart","435","339,26600"
"Fall","432","339,96550"
"Restart","436","339,98110"
"Fall","433","340,68460"
"Restart","437","340,70140"
"Fall","434","341,40680"
"Restart","438","341,42210"
"Fall","435","342,12980"
"Restart","439","342,14420"
"Fall","436","342,85060"
"Restart","440","342,86740"
"Fall","437","343,57520"
"Restart","441","343,59140"
"Fall","438","344,29710"
"Restart","442","344,31290"
"Fall","439","345,00160"
"Restart","443","345,01850"
"Fall","440","345,73600"
"Restart","444","345,75300"
"Fall","441","346,44870"
"Restart","445","346,46620"
"Fall","442","347,16120"
"Restart","446","347,17970"
"Fall","443","347,88480"
"Restart","447","347,90090"
"Fall","444","348,61100"
"Restart","448","348,63370"
"Fall","445","349,32340"
"Restart","449","349,34320"
"Fall","446","350,04320"
"Restart","450","350,05980"
"Fall","447","350,76020"
"Restart","451","350,78020"
"Fall","448","351,49510"
"Restart","452","351,51940"
"Fall","449","352,20960"
"Restart","453","352,23070"
"Fall","450","352,93370"
"Restart","454","352,95660"
"Fall","451","353,65050"
"Restart","455","353,66920"
"Fall","452","354,36980"
"Restart","456","354,38680"
"Fall","453","355,08460"
"Restart","457","355,11140"
"Fall","454","355,81710"
"Restart","458","355,83760"
"Fall","455","356,53150"
"Restart","459","356,55480"
"Fall","456","357,24930"
"Restart","460","357,26770"
"Fall","457","357,97090"
"Restart","461","357,99040"
"Fall","458","358,68450"
"Restart","462","358,70230"
"Fall","459","359,40470"
"Restart","463","359,42150"
"Fall","460","360,12290"
"Restart","464","360,14140"
"Fall","461","360,85400"
"Restart","465","360,87230"
"Fall","462","361,56950"
"Restart","466","361,58730"
"Fall","463","362,28890"
"Restart","467","362,30550"
"Fall","464","363,00630"
"Restart","468","363,02360"
"Fall","465","363,72150"
"Restart","469","363,73810"
"Fall","466","364,44110"
"Restart","470","364,45780"
"Fall","467","365,16290"
"Restart","471","365,18070"
"Fall","468","365,89260"
"Restart","472","365,90950"
"Fall","469","366,60750"
"Restart","473","366,62720"
"Fall","470","367,32560"
"Restart","474","367,34490"
"Fall","471","368,04570"
"Restart","475","368,06640"
"Fall","472","368,76320"
"Restart","476","368,78310"
"Fall","473","369,49510"
"Restart","477","369,51410"
"Fall","474","370,20680"
"Restart","478","370,22490"
"Fall","475","370,92670"
"Restart","479","370,94280"
"Fall","476","371,64350"
"Restart","480","371,66250"
"Fall","477","372,37060"
"Restart","481","372,39050"
"Fall","478","373,08820"
"Restart","482","373,11060"
"Fall","479","373,81500"
"Restart","483","373,83580"
"Fall","480","374,52740"
"Restart","484","374,54560"
"Fall","481","375,24810"
"Restart","485","375,26440"
"Fall","482","375,96690"
"Restart","486","375,98470"
"Fall","483","376,68720"
"Restart","487","376,70960"
"Fall","484","377,40030"
"Restart","488","377,41740"
"Fall","485","378,13360"
"Restart","489","378,15300"
"Fall","486","378,85640"
"Restart","490","378,87540"
"Fall","487","379,57070"
"Restart","491","379,59190"
"Fall","488","380,29000"
"Restart","492","380,31540"
"Fall","489","381,00120"
"Restart","493","381,02160"
"Fall","490","381,73390"
"Restart","494","381,75270"
"Fall","491","382,44860"
"Restart","495","382,47140"
"Fall","492","383,16660"
"Restart","496","383,19350"
"Fall","493","383,89100"
"Restart","497","383,91160"
"Fall","494","384,60880"
"Restart","498","384,62600"
"Fall","495","385,32930"
"Restart","499","385,34760"
"Fall","496","386,05690"
"Restart","500","386,07320"
"Fall","497","386,77270"
"Restart","501","386,79600"
"Fall","498","387,48760"
"Restart","502","387,50740"
"Fall","499","388,20900"
"Restart","503","388,22830"
"Fall","500","388,93730"
"Restart","504","388,95380"
"Fall","501","389,65650"
"Restart","505","389,67790"
"Fall","502","390,37010"
"Restart","506","390,38930"
"Fall","503","391,09380"
"Restart","507","391,11010"
"Fall","504","391,80610"
"Restart","508","391,82480"
"Fall","505","392,52080"
"Restart","509","392,53870"
"Fall","506","393,24410"
"Restart","510","393,26100"
"Fall","507","393,97320"
"Restart","511","393,99140"
"Fall","508","394,69370"
"Restart","512","394,71150"
"Fall","509","395,41610"
"Restart","513","395,43230"
"Fall","510","396,12900"
"Restart","514","396,14520"
"Fall","511","396,85170"
"Restart","515","396,86670"
"Fall","512","397,57230"
"Restart","516","397,58960"
"Fall","513","398,29500"
"Restart","517","398,31160"
"Fall","514","399,00420"
"Restart","518","399,02420"
"Fall","515","399,73740"
"Restart","519","399,75320"
"Fall","516","400,45620"
"Restart","520","400,47320"
"Fall","517","401,16090"
"Restart","521","401,17600"
"Fall","518","401,89600"
"Restart","522","401,91100"
"Fall","519","402,61510"
"Restart","523","402,63210"
"Fall","520","403,32130"
"Restart","524","403,33950"
"Fall","521","404,05550"
"Restart","525","404,07190"
"Fall","522","404,77290"
"Restart","526","404,79040"
"Fall","523","405,48650"
"Restart","527","405,50490"
"Fall","524","406,21110"
"Restart","528","406,22690"
"Fall","525","406,92900"
"Restart","529","406,94650"
"Fall","526","407,65400"
"Restart","530","407,67000"
"Fall","527","408,36780"
"Restart","531","408,38500"
"Fall","528","409,08260"
"Restart","532","409,10000"
"Fall","529","409,81090"
"Restart","533","409,82610"
"Fall","530","410,53430"
"Restart","534","410,54980"
"Fall","531","411,25340"
"Restart","535","411,27040"
"Fall","532","411,96090"
"Restart","536","411,97900"
"Fall","533","412,68260"
"Restart","537","412,70100"
"Fall","534","413,41440"
"Restart","538","413,43110"
"Fall","535","414,13190"
"Restart","539","414,14900"
"Fall","536","414,84720"
"Restart","540","414,86560"
"Fall","537","415,56060"
"Restart","541","415,57890"
"Fall","538","416,28490"
"Restart","542","416,30100"
"Fall","539","417,01650"
"Restart","543","417,03430"
"Fall","540","417,73580"
"Restart","544","417,75620"
"Fall","541","418,44760"
"Restart","545","418,46520"
"Fall","542","419,16380"
"Restart","546","419,18200"
"Fall","543","419,88590"
"Restart","547","419,90330"
"Fall","544","420,60010"
"Restart","548","420,61650"
"Fall","545","421,32760"
"Restart","549","421,34300"
"Fall","546","422,05040"
"Restart","550","422,06540"
"Fall","547","422,77110"
"Restart","551","422,78740"
"Fall","548","423,49700"
"Restart","552","423,51320"
"Fall","549","424,21800"
"Restart","553","424,23740"
"Fall","550","424,92530"
"Restart","554","424,94140"
"Fall","551","425,65500"
"Restart","555","425,67170"
"Fall","552","426,36440"
"Restart","556","426,38060"
"Fall","553","427,08280"
"Restart","557","427,09900"
"Fall","554","427,81600"
"Restart","558","427,83310"
"Fall","555","428,53540"
"Restart","559","428,54860"
"Fall","556","429,25200"
"Restart","560","429,26900"
"Fall","557","429,97030"
"Restart","561","429,98670"
"Fall","558","430,69490"
"Restart","562","430,71060"
"Fall","559","431,40830"
"Restart","563","431,42520"
"Fall","560","432,12480"
"Restart","564","432,14150"
"Fall","561","432,85030"
"Restart","565","432,86570"
"Fall","562","433,56480"
"Restart","566","433,58350"
"Fall","563","434,28060"
"Restart","567","434,29910"
"Fall","564","435,01640"
"Restart","568","435,03230"
"Fall","565","435,73120"
"Restart","569","435,74950"
"Fall","566","436,44760"
"Restart","570","436,46490"
"Fall","567","437,16470"
"Restart","571","437,18170"
"Fall","568","437,88990"
"Restart","572","437,90890"
"Fall","569","438,61280"
"Restart","573","438,62890"
"Fall","570","439,33190"
"Restart","574","439,34840"
"Fall","571","440,05650"
"Restart","575","440,07280"
"Fall","572","440,77000"
"Restart","576","440,78640"
"Fall","573","441,48560"
"Restart","577","441,50200"
"Fall","574","442,21020"
"Restart","578","442,22600"
"Fall","575","442,92240"
"Restart","579","442,93970"
"Fall","576","443,65450"
"Restart","580","443,66930"
"Fall","577","444,36880"
"Restart","581","444,38440"
"Fall","578","445,08330"
"Restart","582","445,10170"
"Fall","579","445,80690"
"Restart","583","445,82320"
"Fall","580","446,52520"
"Restart","584","446,55950"
"Fall","581","447,24580"
"Restart","585","447,26200"
"Fall","582","447,96290"
"Restart","586","447,98120"
"Fall","583","448,69370"
"Restart","587","448,71180"
"Fall","584","449,40250"
"Restart","588","449,41760"
"Fall","585","450,12230"
"Restart","589","450,13830"
"Fall","586","450,84140"
"Restart","590","450,85890"
"Fall","587","451,56790"
"Restart","591","451,58510"
"Fall","588","452,29070"
"Restart","592","452,30760"
"Fall","589","453,00890"
"Restart","593","453,02490"
"Fall","590","453,72700"
"Restart","594","453,74370"
"Fall","591","454,45140"
"Restart","595","454,50380"
"Fall","592","455,16500"
"Restart","596","455,18580"
"Fall","593","455,88780"
"Restart","597","455,90360"
"Fall","594","456,60140"
"Restart","598","456,61950"
"Fall","595","457,32440"
"Restart","599","457,33990"
"Fall","596","458,04180"
"Restart","600","458,06050"
"Fall","597","458,77620"
"Restart","601","458,87620"
"Fall","598","459,48790"
"Restart","602","459,50340"
"Fall","599","460,20100"
"Restart","603","460,21790"
"Fall","600","460,92440"
"Restart","604","460,95970"
"Fall","601","461,64450"
"Restart","605","461,66090"
"Fall","602","462,36250"
"Restart","606","462,37890"
"Fall","603","463,08960"
"Restart","607","463,10600"
"Fall","604","463,81160"
"Restart","608","463,82710"
"Fall","605","464,53700"
"Restart","609","464,55150"
"Fall","606","465,25250"
"Restart","610","465,26800"
"Fall","607","465,97020"
"Restart","611","465,98660"
"Fall","608","466,69540"
"Restart","612","466,71320"
"Fall","609","467,41760"
"Restart","613","467,43350"
"Fall","610","468,13200"
"Restart","614","468,14910"
"Fall","611","468,85430"
"Restart","615","468,86910"
"Fall","612","469,57460"
"Restart","616","469,59070"
"Fall","613","470,29390"
"Restart","617","470,31120"
"Fall","614","471,01740"
"Restart","618","471,03350"
"Fall","615","471,73030"
"Restart","619","471,74700"
"Fall","616","472,44400"
"Restart","620","472,46340"
"Fall","617","473,16540"
"Restart","621","473,19210"
"Fall","618","473,89260"
"Restart","622","473,90930"
"Fall","619","474,60270"
"Restart","623","474,61750"
"Fall","620","475,32130"
"Restart","624","475,33940"
"Fall","621","476,04600"
"Restart","625","476,06250"
"Fall","622","476,76340"
"Restart","626","476,78040"
"Fall","623","477,49270"
"Restart","627","477,50960"
"Fall","624","478,21070"
"Restart","628","478,22730"
"Fall","625","478,93130"
"Restart","629","478,94590"
"Fall","626","479,64630"
"Restart","630","479,66320"
"Fall","627","480,36270"
"Restart","631","480,37950"
"Fall","628","481,08400"
"Restart","632","481,10140"
"Fall","629","481,80880"
"Restart","633","481,85380"
"Fall","630","482,52460"
"Restart","634","482,54090"
"Fall","631","483,24430"
"Restart","635","483,26030"
"Fall","632","483,96590"
"Restart","636","483,98340"
"Fall","633","484,68200"
"Restart","637","484,69830"
"Fall","634","485,41550"
"Restart","638","485,43330"
"Fall","635","486,13060"
"Restart","639","486,14960"
"Fall","636","486,84570"
"Restart","640","486,86310"
"Fall","637","487,56850"
"Restart","641","487,58510"
"Fall","638","488,28900"
"Restart","642","488,30320"
"Fall","639","489,00560"
"Restart","643","489,05460"
"Fall","640","489,72030"
"Restart","644","489,73810"
"Fall","641","490,44540"
"Restart","645","490,45930"
"Fall","642","491,16620"
"Restart","646","491,18260"
"Fall","643","491,88310"
"Restart","647","491,89910"
"Fall","644","492,60820"
"Restart","648","492,62540"
"Fall","645","493,32350"
"Restart","649","493,33930"
"Fall","646","494,05440"
"Restart","650","494,07200"
"Fall","647","494,77010"
"Restart","651","494,78790"
"Fall","648","495,48600"
"Restart","652","495,50400"
"Fall","649","496,21260"
"Restart","653","496,22850"
"Fall","650","496,92900"
"Restart","654","496,94530"
"Fall","651","497,64450"
"Restart","655","497,66220"
"Fall","652","498,36180"
"Restart","656","498,37840"
"Fall","653","499,08730"
"Restart","657","499,10350"
"Fall","654","499,80120"
"Restart","658","499,81920"
"Fall","655","500,53510"
"Restart","659","500,55200"
"Fall","656","501,25260"
"Restart","660","501,27070"
"Fall","657","501,96870"
"Restart","661","501,98690"
"Fall","658","502,68190"
"Restart","662","502,70000"
"Fall","659","503,41690"
"Restart","663","503,43300"
"Fall","660","504,12040"
"Restart","664","504,14410"
"Fall","661","504,85400"
"Restart","665","504,87660"
"Fall","662","505,56920"
"Restart","666","505,58680"
"Fall","663","506,28440"
"Restart","667","506,30620"
"Fall","664","507,01580"
"Restart","668","507,04190"
"Fall","665","507,73100"
"Restart","669","507,75910"
"Fall","666","508,44090"
"Restart","670","508,48750"
"Fall","667","509,16910"
"Restart","671","509,18880"
"Fall","668","509,88280"
"Restart","672","509,91130"
"Fall","669","510,61000"
"Restart","673","510,63340"
"Fall","670","511,33780"
"Restart","674","511,36340"
"Fall","671","512,05290"
"Restart","675","512,09680"
"Fall","672","512,76190"
"Restart","676","512,78050"
"Fall","673","513,48100"
"Restart","677","513,50100"
"Fall","674","514,20880"
"Restart","678","514,22850"
"Fall","675","514,92430"
"Restart","679","514,94840"
"Fall","676","515,65340"
"Restart","680","515,67410"
"Fall","677","516,36400"
"Restart","681","516,39040"
"Fall","678","517,09530"
"Restart","682","517,11890"
"Fall","679","517,81030"
"Restart","683","517,83020"
"Fall","680","518,53290"
"Restart","684","518,55410"
"Fall","681","519,25630"
"Restart","685","519,28100"
"Fall","682","519,97350"
"Restart","686","519,99550"
"Fall","683","520,68530"
"Restart","687","520,70610"
"Fall","684","521,41320"
"Restart","688","521,43570"
"Fall","685","522,12870"
"Restart","689","522,15470"
"Fall","686","522,85610"
"Restart","690","522,87490"
"Fall","687","523,57600"
"Restart","691","523,59520"
"Fall","688","524,29190"
"Restart","692","524,31540"
"Fall","689","525,00080"
"Restart","693","525,02540"
"Fall","690","525,73180"
"Restart","694","525,75400"
"Fall","691","526,44730"
"Restart","695","526,46540"
"Fall","692","527,16440"
"Restart","696","527,18650"
"Fall","693","527,89650"
"Restart","697","527,91670"
"Fall","694","528,60930"
"Restart","698","528,63510"
"Fall","695","529,33920"
"Restart","699","529,35940"
"Fall","696","530,04500"
"Restart","700","530,07200"
"Fall","697","530,77470"
"Restart","701","530,79900"
"Fall","698","531,48220"
"Restart","702","531,54070"
"Fall","699","532,21800"
"Restart","703","532,24220"
"Fall","700","532,92100"
"Restart","704","532,94530"
"Fall","701","533,65360"
"Restart","705","533,66990"
"Fall","702","534,37010"
"Restart","706","534,38890"
"Fall","703","535,09520"
"Restart","707","535,11100"
"Fall","704","535,80900"
"Restart","708","535,82730"
"Fall","705","536,53220"
"Restart","709","536,54850"
"Fall","706","537,24930"
"Restart","710","537,26800"
"Fall","707","537,97890"
"Restart","711","537,99270"
"Fall","708","538,68050"
"Restart","712","538,69750"
"Fall","709","539,41480"
"Restart","713","539,43180"
"Fall","710","540,12670"
"Restart","714","540,14580"
"Fall","711","540,85120"
"Restart","715","540,86660"
"Fall","712","541,56460"
"Restart","716","541,58150"
"Fall","713","542,28780"
"Restart","717","542,30410"
"Fall","714","543,01700"
"Restart","718","543,03340"
"Fall","715","543,74200"
"Restart","719","543,75930"
"Fall","716","544,47150"
"Restart","720","544,48940"
"Fall","717","545,19200"
"Restart","721","545,21080"
"Fall","718","545,91130"
"Restart","722","545,92690"
"Fall","719","546,62630"
"Restart","723","546,64550"
"Fall","720","547,34600"
"Restart","724","547,36500"
"Fall","721","548,06720"
"Restart","725","548,08450"
"Fall","722","548,78930"
"Restart","726","548,80880"
"Fall","723","549,50850"
"Restart","727","549,52830"
"Fall","724","550,23360"
"Restart","728","550,25080"
"Fall","725","550,94380"
"Restart","729","550,96470"
"Fall","726","551,66270"
"Restart","730","551,68400"
"Fall","727","552,38250"
"Restart","731","552,39890"
"Fall","728","553,11520"
"Restart","732","553,13210"
"Fall","729","553,83270"
"Restart","733","553,84950"
"Fall","730","554,54770"
"Restart","734","554,56460"
"Fall","731","555,26460"
"Restart","735","555,28160"
"Fall","732","555,98160"
"Restart","736","555,99830"
"Fall","733","556,71510"
"Restart","737","556,73150"
"Fall","734","557,43250"
"Restart","738","557,44980"
"Fall","735","558,15000"
"Restart","739","558,16750"
"Fall","736","558,86700"
"Restart","740","558,88400"
"Fall","737","559,59200"
"Restart","741","559,60850"
"Fall","738","560,31010"
"Restart","742","560,32660"
"Fall","739","561,03670"
"Restart","743","561,05280"
"Fall","740","561,75320"
"Restart","744","561,76900"
"Fall","741","562,46770"
"Restart","745","562,48430"
"Fall","742","563,18740"
"Restart","746","563,20360"
"Fall","743","563,90440"
"Restart","747","563,92040"
"Fall","744","564,62220"
"Restart","748","564,63870"
"Fall","745","565,34110"
"Restart","749","565,35740"
"Fall","746","566,07600"
"Restart","750","566,09300"
"Fall","747","566,79300"
"Restart","751","566,81030"
"Fall","748","567,50840"
"Restart","752","567,52510"
"Fall","749","568,22520"
"Restart","753","568,24220"
"Fall","750","568,94230"
"Restart","754","568,96010"
"Fall","751","569,67550"
"Restart","755","569,69180"
"Fall","752","570,39180"
"Restart","756","570,40810"
"Fall","753","571,10850"
"Restart","757","571,12480"
"Fall","754","571,83240"
"Restart","758","571,84880"
"Fall","755","572,54750"
"Restart","759","572,56360"
"Fall","756","573,26540"
"Restart","760","573,28140"
"Fall","757","573,98240"
"Restart","761","574,00310"
"Fall","758","574,70560"
"Restart","762","574,72200"
"Fall","759","575,42250"
"Restart","763","575,44180"
"Fall","760","576,14790"
"Restart","764","576,16410"
"Fall","761","576,86540"
"Restart","765","576,88170"
"Fall","762","577,58420"
"Restart","766","577,60050"
"Fall","763","578,30060"
"Restart","767","578,31710"
"Fall","764","579,03580"
"Restart","768","579,05230"
"Fall","765","579,74510"
"Restart","769","579,76170"
"Fall","766","580,46300"
"Restart","770","580,47920"
"Fall","767","581,18180"
"Restart","771","581,20050"
"Fall","768","581,91420"
"Restart","772","581,93130"
"Fall","769","582,63090"
"Restart","773","582,64940"
"Fall","770","583,34880"
"Restart","774","583,36600"
"Fall","771","584,06230"
"Restart","775","584,07900"
"Fall","772","584,79560"
"Restart","776","584,81210"
"Fall","773","585,51480"
"Restart","777","585,53080"
"Fall","774","586,23160"
"Restart","778","586,24810"
"Fall","775","586,95100"
"Restart","779","586,96730"
"Fall","776","587,66830"
"Restart","780","587,68460"
"Fall","777","588,38560"
"Restart","781","588,40200"
"Fall","778","589,10320"
"Restart","782","589,12910"
"Fall","779","589,82790"
"Restart","783","589,84440"
"Fall","780","590,54580"
"Restart","784","590,56220"
"Fall","781","591,26400"
"Restart","785","591,28030"
"Fall","782","591,98210"
"Restart","786","591,99820"
"Fall","783","592,71590"
"Restart","787","592,73290"
"Fall","784","593,43310"
"Restart","788","593,45030"
"Fall","785","594,15110"
"Restart","789","594,16850"
"Fall","786","594,86920"
"Restart","790","594,88650"
"Fall","787","595,58760"
"Restart","791","595,60490"
"Fall","788","596,30560"
"Restart","792","596,32280"
"Fall","789","597,02370"
"Restart","793","597,04060"
"Fall","790","597,74140"
"Restart","794","597,75850"
"Fall","791","598,47590"
"Restart","795","598,49220"
"Fall","792","599,19430"
"Restart","796","599,21050"
"Fall","793","599,91300"
"Restart","797","599,92940"
"Fall","794","600,63150"
"Restart","798","600,64790"
"Fall","795","601,34770"
"Restart","799","601,36360"
"Fall","796","602,06570"
"Restart","800","602,08200"
"Fall","797","602,78300"
"Restart","801","602,79960"
"Fall","798","603,50950"
"Restart","802","603,52580"
"Fall","799","604,22810"
"Restart","803","604,24410"
"Fall","800","604,94650"
"Restart","804","604,96280"
"Fall","801","605,66500"
"Restart","805","605,68130"
"Fall","802","606,38400"
"Restart","806","606,40030"
"Fall","803","607,10210"
"Restart","807","607,11850"
"Fall","804","607,82360"
"Restart","808","607,84000"
"Fall","805","608,55590"
"Restart","809","608,57320"
"Fall","806","609,27370"
"Restart","810","609,29100"
"Fall","807","609,99190"
"Restart","811","610,00920"
"Fall","808","610,70960"
"Restart","812","610,72670"
"Fall","809","611,42950"
"Restart","813","611,44620"
"Fall","810","612,15220"
"Restart","814","612,16850"
"Fall","811","612,86950"
"Restart","815","612,88580"
"Fall","812","613,58790"
"Restart","816","613,60390"
"Fall","813","614,30110"
"Restart","817","614,31710"
"Fall","814","615,03580"
"Restart","818","615,05300"
"Fall","815","615,75360"
"Restart","819","615,77080"
"Fall","816","616,47250"
"Restart","820","616,49020"
"Fall","817","617,19340"
"Restart","821","617,20870"
"Fall","818","617,90900"
"Restart","822","617,92660"
"Fall","819","618,62620"
"Restart","823","618,64320"
"Fall","820","619,34240"
"Restart","824","619,35990"
"Fall","821","620,06090"
"Restart","825","620,07800"
"Fall","822","620,79490"
"Restart","826","620,81150"
"Fall","823","621,50950"
"Restart","827","621,52560"
"Fall","824","622,22820"
"Restart","828","622,24470"
"Fall","825","622,94580"
"Restart","829","622,96310"
"Fall","826","623,66170"
"Restart","830","623,67810"
"Fall","827","624,39280"
"Restart","831","624,41000"
"Fall","828","625,11130"
"Restart","832","625,12890"
"Fall","829","625,82800"
"Restart","833","625,84530"
"Fall","830","626,54200"
"Restart","834","626,55880"
"Fall","831","627,27340"
"Restart","835","627,29270"
"Fall","832","627,98860"
"Restart","836","628,00430"
"Fall","833","628,70170"
"Restart","837","628,71930"
"Fall","834","629,42650"
"Restart","838","629,44270"
"Fall","835","630,15130"
"Restart","839","630,16650"
"Fall","836","630,86710"
"Restart","840","630,88330"
"Fall","837","631,58360"
"Restart","841","631,59920"
"Fall","838","632,30550"
"Restart","842","632,32120"
"Fall","839","633,02310"
"Restart","843","633,03990"
"Fall","840","633,75560"
"Restart","844","633,77250"
